Sl.No,District,No of Beneficiaries (SC),Amount (Rs. in Lakhs) (SC),No of Beneficiaries (ST),Amount (Rs. in Lakhs) (ST),No of Beneficiaries (M.B.C/ D.N.C),Amount (Rs. in thousands) (M.B.C/ D.N.C),No of Beneficiaries (B.C),Amount (Rs. in thousands) (B.C),No of Beneficiaries (Christian),Amount (Rs. in Lakhs) (Christian),No of Beneficiaries (Muslim),Amount (Rs. in Lakhs) (Muslim),No of Beneficiaries (Buddist),Amount (Rs. in Lakhs) (Buddist),No of Beneficiaries (Jain),Amount (Rs. in Lakhs) (Jain),No of Beneficiaries (Sikhs),Amount (Rs. in Lakhs) (Sikhs),Total No of Beneficiaries (SC+ST+MBC/DNC+BC Christian+Muslim+Buddist+Jain+Sikhs),Total Amount (Rs. in Lakhs) (SC+ST+MBC/DNC+BC Christian+Muslim+Buddist+Jain+Sikhs)
1,Chennai,41750,2541.1047,749,78.6375,17782,74872,35094,46033,8153,276.75,11756,341.19,4,0.26,45,2.93,0,0,114987,83085.08
2,Kancheepuram,69179,10998.4023,435,226.4923,35431,234086,29970,117734,8449,374.56,8548,384.25,0,0,68,6.08,5,0.24,131146,201719
3,Thiruvallur,30584,3411.3481,210,24.8394,21277,64352,17521,36362,3490,122.26,3552,145.86,0,0,60,3.07,1,0.25,64912,92185.62
4,Cuddalore,48276,5389.1695,380,118.097,6812,28399,12734,38150,4540,118.21,12135,295.34,1,0.09,9,0.65,0,0,87120,92917.52
5,Villupuram,49761,4907.6512,1015,117.5096,7799,30399,10059,38436,6764,170.45,4981,139.46,1,0.06,20,0.74,0,0,69400,47425.24
6,Vellore,37772,4096.6968,1381,141.341,18167,38030,15587,30794,1156,54.67,22194,499.04,2,0.1,6,0.22,0,0,98641,74175.13
7,Tiruvannamalai,19804,1892.3551,270,33.8156,6724,22158,5027,25599,4242,104.98,6576,114.62,1,0.02,223,9.08,0,0,50414,35096.55
8,Salem,43353,5147.9115,5638,694.7593,10463,42776,13275,38219,2258,60.85,5038,121.63,1,0.06,0,0,0,0,73007,74653.25
9,Namakkal,44221,7624.9918,3105,673.7731,22049,122803,13898,68006,620,33.62,1795,67.01,0,0,0,0,0,0,61814,122406.2
10,Dharmapuri,17693,1745.868,2375,269.0418,4262,9947,7308,18441,737,27.6,1821,33.51,0,0,0,0,0,0,31933,26457.68
11,Krishnagiri,14203,2104.443,464,38.4218,21539,23162,10467,21425,939,28.64,6446,86.75,0,0,0,0,0,0,33936,33544.31
12,Erode,22606,2869.156,436,99.7121,16222,76938,5905,33685,2832,66.29,5654,190.75,0,0,1,0.01,0,0,48843,82703.38
13,Coimbatore,44996,6640.6563,1370,235.5016,43106,256712,15536,98929,5241,235.72,8617,225.27,1,0.06,4,0.37,0,0,100007,218809.6
14,Tiruppur,19903,2175.3231,80,12.2505,7153,21440,3514,8905,1525,28.31,5055,84.31,0,0,1,0.09,0,0,34157,29160.79
15,The Nilgiris,7834,407.2845,319,14.8676,3964,6461,1061,2409,6752,183.21,10555,228.66,2,0.02,1,0.09,0,0,29733,6603.713
16,Tiruchirappalli,43008,5839.6068,1639,228.4875,21588,124249,10756,54029,16433,381.06,14992,414.05,2,0.07,0,0,1,0.07,108797,118543.7
17,Karur,13429,1688.6235,75,17.9385,4645,25554,2944,9647,1055,27.25,6805,133.66,0,0,0,0,0,0,26711,23791.19
18,Perambalur,19387,2555.9536,318,69.2744,2186,12416,2349,10192,799,18.6,3490,108.83,0,0,0,0,0,0,22054,22364.6
19,Ariyalur,10707,1253.2576,292,55.0182,1653,4779,1521,5805,4306,75.83,469,13.91,0,0,0,0,0,0,17949,10924.64
20,Thanjavur,36850,3446.627,186,23.8307,17345,51730,9123,24096,10307,294.67,18266,606.91,0,0,1,0.09,0,0,82224,55363.27
21,Pudukkottai,26698,3368.6048,96,19.0836,9904,27453,2741,15856,4513,95.35,6350,134.37,0,0,0,0,0,0,46706,46495.43
22,Nagapattinam,35199,2891.8737,94,11.4,8881,23832,6751,18438,2503,58.94,11583,296.47,0,0,2,0.1,0,0,59434,32712.02
23,Thiruvarur,45179,5332.3287,381,82.0775,4132,11708,2914,6723,1957,34.64,11334,251.4,0,0,8,0.24,0,0,37402,15379.59
24,Madurai,27210,2300.5818,378,35.3106,15439,50230,7840,24252,4050,135.6,9395,205.96,0,0,2,0.26,1,0.01,67276,60354.88
25,Theni,14970,1125.537,47,6.511,6253,19776,2402,7865,1266,27.36,2497,52.54,0,0,0,0,0,0,22480,17204.76
26,Dindigul,23009,2289.4806,264,35.721,10611,46129,3849,17654,15075,323.16,6828,121.33,2,0.14,0,0,0,0,64870,56904.8
27,Ramanathapuram,15370,934.587,3,0.7514,4951,13869,1540,5605,4937,110.42,15867,360.53,0,0,0,0,0,0,34796,16651.64
28,Virudhunagar,22887,1687.1074,91,44.7502,11292,44378,5287,19045,2739,40,3372,50.38,0,0,0,0,0,0,42958,50963.1
29,Sivagangai,16037,1645.0233,41,7.7681,10648,42909,3913,15608,4735,126.61,5767,117.39,0,0,3,0.06,0,0,36629,43850.32
30,Tirunelveli,22509,1108.9673,68,5.0176,11671,40736,5391,16430,16961,361.71,22438,399.36,6,0.17,3,0.06,0,0,87051,49093.77
31,Thoothukkudi,32828,3251.7718,898,94.9112,10262,35005,2567,12331,28200,383.01,8042,138.62,0,0,0,0,0,0,65738,44134.72
32,Kanniyakumari,7765,1373.7783,256,41.5671,16057,67482,2107,10313,94104,2216.92,7258,176.49,1,0.02,0,0,1,0.06,136602,81335.21
33,"Directorate,Otherstate",NA,NA,NA,NA,NA,NA,NA,NA,175,37.66,41,38.93,0,0,2,0.63,0,0,1349,178.99
Total,Total District,924977,104046.0718,23353,3558.4788,410268,1694770,270951,897016,271813,6634.91,269517,6578.78,24,1.07,459,24.76,9,0.63,1991076,1967190

